ID,대출등급
TEST_00000,1
TEST_00001,1
TEST_00002,0
TEST_00003,2
TEST_00004,2
TEST_00005,0
TEST_00006,1
TEST_00007,1
TEST_00008,1
TEST_00009,2
TEST_00010,2
TEST_00011,2
TEST_00012,2
TEST_00013,2
TEST_00014,0
TEST_00015,0
TEST_00016,2
TEST_00017,2
TEST_00018,1
TEST_00019,2
TEST_00020,2
TEST_00021,2
TEST_00022,2
TEST_00023,5
TEST_00024,0
TEST_00025,1
TEST_00026,1
TEST_00027,3
TEST_00028,2
TEST_00029,0
TEST_00030,3
TEST_00031,0
TEST_00032,0
TEST_00033,1
TEST_00034,1
TEST_00035,3
TEST_00036,1
TEST_00037,2
TEST_00038,1
TEST_00039,4
TEST_00040,2
TEST_00041,2
TEST_00042,1
TEST_00043,2
TEST_00044,2
TEST_00045,4
TEST_00046,4
TEST_00047,4
TEST_00048,0
TEST_00049,4
TEST_00050,1
TEST_00051,2
TEST_00052,3
TEST_00053,1
TEST_00054,2
TEST_00055,3
TEST_00056,0
TEST_00057,2
TEST_00058,1
TEST_00059,1
TEST_00060,2
TEST_00061,1
TEST_00062,0
TEST_00063,2
TEST_00064,1
TEST_00065,3
TEST_00066,2
TEST_00067,2
TEST_00068,1
TEST_00069,4
TEST_00070,1
TEST_00071,1
TEST_00072,2
TEST_00073,2
TEST_00074,2
TEST_00075,2
TEST_00076,2
TEST_00077,0
TEST_00078,1
TEST_00079,1
TEST_00080,1
TEST_00081,5
TEST_00082,0
TEST_00083,1
TEST_00084,1
TEST_00085,2
TEST_00086,2
TEST_00087,3
TEST_00088,1
TEST_00089,2
TEST_00090,1
TEST_00091,3
TEST_00092,2
TEST_00093,1
TEST_00094,2
TEST_00095,3
TEST_00096,1
TEST_00097,3
TEST_00098,1
TEST_00099,2
TEST_00100,1
TEST_00101,2
TEST_00102,2
TEST_00103,2
TEST_00104,2
TEST_00105,1
TEST_00106,2
TEST_00107,4
TEST_00108,2
TEST_00109,3
